contig_id,cluster_id
NODE_92_length_18148_cov_93.895191,2
NODE_93_length_18093_cov_92.739842,2
NODE_94_length_17947_cov_82.703581,8
NODE_95_length_17589_cov_99.665315,2
NODE_96_length_17432_cov_100.036070,2
NODE_97_length_17181_cov_75.643534,2
NODE_98_length_17144_cov_108.543857,2
NODE_99_length_17036_cov_100.009611,2
NODE_100_length_16440_cov_72.171362,2
NODE_101_length_16387_cov_16.036787,1
NODE_102_length_16317_cov_74.125554,2
NODE_103_length_15960_cov_11.121514,1
NODE_104_length_15774_cov_97.478117,8
NODE_105_length_15670_cov_82.357404,2
NODE_106_length_15625_cov_81.699961,2
NODE_107_length_15495_cov_82.436373,2
NODE_108_length_15443_cov_80.435312,2
NODE_109_length_15321_cov_57.529389,2
NODE_110_length_15222_cov_93.632684,2
NODE_111_length_15209_cov_86.841396,2
NODE_112_length_15182_cov_64.197881,2
NODE_113_length_15166_cov_86.275366,8
NODE_114_length_15148_cov_9.917258,8
NODE_115_length_15064_cov_86.557283,2
NODE_116_length_14577_cov_97.124414,2
NODE_117_length_14156_cov_88.379643,2
NODE_118_length_14003_cov_100.052061,2
NODE_119_length_13810_cov_81.299643,2
NODE_120_length_13670_cov_62.187449,2
NODE_121_length_13568_cov_75.575421,8
NODE_122_length_13567_cov_86.434618,2
NODE_123_length_13522_cov_7.110450,1
NODE_124_length_13217_cov_102.314840,2
NODE_125_length_13145_cov_76.824686,2
NODE_126_length_13091_cov_95.183879,2
NODE_127_length_12763_cov_101.184613,8
NODE_128_length_12757_cov_82.799054,2
NODE_129_length_12742_cov_98.684801,2
NODE_130_length_12731_cov_76.522681,2
NODE_131_length_12298_cov_49.382456,4
NODE_132_length_12247_cov_77.169269,2
NODE_133_length_12165_cov_82.745864,2
NODE_134_length_12151_cov_82.742587,8
NODE_135_length_12064_cov_87.861266,2
NODE_136_length_11995_cov_109.429183,2
NODE_137_length_11504_cov_109.690732,2
NODE_138_length_11390_cov_83.137806,2
NODE_139_length_11374_cov_87.003275,8
NODE_140_length_11264_cov_15.934746,1
NODE_141_length_10909_cov_8.541544,4
NODE_142_length_10700_cov_74.727761,2
NODE_143_length_10680_cov_11.499859,8
NODE_144_length_10623_cov_104.355964,2
NODE_145_length_10581_cov_84.191927,8
NODE_146_length_10543_cov_72.418211,2
NODE_147_length_10431_cov_84.739135,2
NODE_148_length_10385_cov_93.850893,2
NODE_149_length_10346_cov_92.587107,2
NODE_150_length_10335_cov_59.715149,2
NODE_151_length_10225_cov_83.457430,2
NODE_152_length_10123_cov_71.530858,2
NODE_153_length_9822_cov_8.091534,1
NODE_154_length_9787_cov_53.755304,2
NODE_155_length_9642_cov_96.613905,2
NODE_156_length_9517_cov_83.913242,8
NODE_157_length_9394_cov_83.787163,2
NODE_158_length_9333_cov_93.383967,2
NODE_159_length_9309_cov_82.216313,8
NODE_160_length_9094_cov_80.093823,2
NODE_161_length_8958_cov_84.279811,8
NODE_162_length_8813_cov_11.472527,1
NODE_163_length_8789_cov_78.875344,2
NODE_164_length_8519_cov_83.638593,8
NODE_165_length_8508_cov_10.104377,8
NODE_166_length_8476_cov_30.481962,8
NODE_167_length_8185_cov_101.298347,2
NODE_168_length_8089_cov_128.673864,2
NODE_169_length_8072_cov_7.152095,8
NODE_170_length_7797_cov_51.891451,7
NODE_171_length_7773_cov_91.535863,2
NODE_172_length_7716_cov_91.486189,8
NODE_173_length_7675_cov_110.411687,2
NODE_174_length_7634_cov_8.103216,8
NODE_175_length_7596_cov_89.744913,2
NODE_176_length_7592_cov_91.345043,8
NODE_177_length_7570_cov_96.888429,2
NODE_178_length_7552_cov_87.285886,2
NODE_179_length_7456_cov_23.868004,7
NODE_180_length_7359_cov_88.482422,2
NODE_181_length_7325_cov_9.694260,1
NODE_182_length_7273_cov_57.141329,2
NODE_183_length_7234_cov_77.509292,2
NODE_184_length_7225_cov_9.191522,4
NODE_185_length_7183_cov_87.314804,2
NODE_186_length_7160_cov_107.221093,2
NODE_187_length_7121_cov_125.160278,2
NODE_188_length_6988_cov_94.756330,2
NODE_189_length_6985_cov_99.844528,2
NODE_190_length_6921_cov_84.643922,2
NODE_191_length_6886_cov_7.494933,1
NODE_192_length_6845_cov_56.803635,2
NODE_193_length_6736_cov_90.930470,2
NODE_194_length_6656_cov_13.544004,4
NODE_195_length_6567_cov_4.425270,1
NODE_196_length_6402_cov_122.286166,2
NODE_197_length_6402_cov_97.396364,2
NODE_198_length_6367_cov_114.826550,2
NODE_199_length_6365_cov_8.530693,1
NODE_200_length_6360_cov_48.354130,2
NODE_201_length_6353_cov_60.931166,2
NODE_202_length_6333_cov_98.047954,2
NODE_203_length_6259_cov_5.953898,4
NODE_204_length_6163_cov_115.179757,2
NODE_205_length_5917_cov_52.066781,4
NODE_206_length_5883_cov_86.385291,2
NODE_207_length_5836_cov_71.861087,2
NODE_208_length_5815_cov_16.029453,1
NODE_209_length_5801_cov_110.337526,2
NODE_210_length_5688_cov_105.782926,2
NODE_211_length_5659_cov_92.067359,2
NODE_212_length_5617_cov_25.980325,4
NODE_213_length_5586_cov_13.205119,1
NODE_214_length_5569_cov_19.402039,4
NODE_215_length_5487_cov_118.465989,2
NODE_216_length_5420_cov_78.433277,2
NODE_217_length_5416_cov_123.825997,2
NODE_218_length_5389_cov_14.184676,4
NODE_219_length_5368_cov_89.483273,2
NODE_220_length_5361_cov_78.193036,2
NODE_221_length_5358_cov_58.118159,4
NODE_222_length_5281_cov_96.693889,2
NODE_223_length_5273_cov_114.643957,2
NODE_224_length_5266_cov_69.352862,2
NODE_225_length_5172_cov_108.667321,2
NODE_226_length_5168_cov_8.880574,1
NODE_227_length_5126_cov_49.304813,2
NODE_228_length_5111_cov_5.083433,1
NODE_229_length_5042_cov_96.637865,4
NODE_230_length_5033_cov_17.789346,1
NODE_231_length_4880_cov_31.599625,4
NODE_232_length_4874_cov_7.943923,1
NODE_233_length_4841_cov_94.651553,2
NODE_234_length_4839_cov_14.372533,7
NODE_235_length_4794_cov_49.543354,4
NODE_236_length_4719_cov_59.004308,2
NODE_237_length_4657_cov_81.450437,2
NODE_238_length_4623_cov_72.516498,2
NODE_239_length_4616_cov_75.747742,2
NODE_240_length_4546_cov_92.444171,2
NODE_241_length_4529_cov_16.751797,1
NODE_242_length_4453_cov_111.035649,2
NODE_243_length_4426_cov_26.674178,7
NODE_244_length_4383_cov_11.816071,4
NODE_245_length_4379_cov_5.281729,1
NODE_246_length_4340_cov_88.873329,7
NODE_247_length_4206_cov_10.416566,8
NODE_248_length_4197_cov_9.590049,1
NODE_249_length_4157_cov_5.083333,1
NODE_250_length_4153_cov_73.934004,2
NODE_251_length_4111_cov_11.773922,1
NODE_252_length_4073_cov_56.134134,7
NODE_253_length_4062_cov_20.555082,4
NODE_254_length_4020_cov_109.107279,2
NODE_255_length_3982_cov_96.928297,2
NODE_256_length_3976_cov_10.241857,4
NODE_257_length_3960_cov_26.238218,4
NODE_258_length_3890_cov_31.951220,4
NODE_259_length_3886_cov_25.421896,4
NODE_260_length_3871_cov_33.005799,4
NODE_261_length_3855_cov_54.897565,7
NODE_262_length_3828_cov_133.189549,7
NODE_263_length_3826_cov_21.381168,4
NODE_264_length_3817_cov_11.830749,4
NODE_265_length_3803_cov_111.252550,2
NODE_266_length_3765_cov_74.372831,2
NODE_267_length_3761_cov_48.637079,8
NODE_268_length_3757_cov_42.714946,8
NODE_269_length_3725_cov_20.081414,4
NODE_270_length_3703_cov_23.477110,4
NODE_271_length_3701_cov_54.787252,2
NODE_272_length_3676_cov_9.038622,0
NODE_273_length_3660_cov_11.465811,1
NODE_274_length_3658_cov_29.083775,4
NODE_275_length_3653_cov_36.701063,4
NODE_276_length_3581_cov_9.273402,4
NODE_277_length_3567_cov_17.519484,1
NODE_278_length_3535_cov_22.406304,4
NODE_279_length_3532_cov_25.744139,4
NODE_280_length_3513_cov_114.734866,4
NODE_281_length_3451_cov_68.542976,4
NODE_282_length_3450_cov_93.404684,4
NODE_283_length_3447_cov_117.697923,2
NODE_284_length_3446_cov_71.176017,4
NODE_285_length_3444_cov_35.436590,4
NODE_286_length_3429_cov_3.984189,1
NODE_287_length_3332_cov_2.699232,1
NODE_288_length_3314_cov_8.062403,1
NODE_289_length_3309_cov_68.363243,4
NODE_290_length_3287_cov_78.700312,2
NODE_291_length_3256_cov_130.891790,7
NODE_292_length_3241_cov_112.614096,2
NODE_293_length_3224_cov_16.852240,4
NODE_294_length_3192_cov_63.861958,4
NODE_295_length_3173_cov_8.529716,1
NODE_296_length_3152_cov_4.695935,1
NODE_297_length_3033_cov_15.882612,1
NODE_298_length_3028_cov_91.938665,2
NODE_299_length_3025_cov_105.940299,2
NODE_300_length_3000_cov_133.729046,7
NODE_301_length_2991_cov_36.551476,4
NODE_302_length_2979_cov_41.533081,8
NODE_303_length_2961_cov_35.013523,4
NODE_304_length_2919_cov_72.276918,7
NODE_305_length_2917_cov_115.490493,2
NODE_306_length_2900_cov_18.246192,1
NODE_307_length_2893_cov_34.807528,4
NODE_308_length_2890_cov_119.533594,2
NODE_309_length_2880_cov_81.564395,2
NODE_310_length_2875_cov_4.140815,1
NODE_311_length_2874_cov_6.540937,1
NODE_312_length_2868_cov_69.415980,2
NODE_313_length_2859_cov_55.141265,4
NODE_314_length_2854_cov_93.740727,2
NODE_315_length_2826_cov_44.751182,4
NODE_316_length_2792_cov_9.408103,4
NODE_317_length_2754_cov_33.223384,4
NODE_318_length_2731_cov_16.264883,4
NODE_319_length_2715_cov_64.407885,7
NODE_320_length_2706_cov_42.436288,4
NODE_321_length_2698_cov_15.662343,4
NODE_322_length_2689_cov_14.728943,7
NODE_323_length_2677_cov_55.729231,2
NODE_324_length_2633_cov_62.634194,4
NODE_325_length_2600_cov_32.465319,4
NODE_326_length_2594_cov_40.309495,7
NODE_327_length_2582_cov_35.300599,4
NODE_328_length_2572_cov_70.130661,4
NODE_329_length_2564_cov_7.861279,4
NODE_330_length_2560_cov_114.506242,2
NODE_331_length_2549_cov_42.987864,4
NODE_332_length_2499_cov_7.304707,0
NODE_333_length_2434_cov_96.706406,4
NODE_334_length_2416_cov_62.511330,4
NODE_335_length_2412_cov_46.783726,4
NODE_336_length_2410_cov_108.324904,4
NODE_337_length_2406_cov_4.631602,0
NODE_338_length_2376_cov_18.836016,4
NODE_339_length_2375_cov_30.281984,4
NODE_340_length_2357_cov_6.827193,1
NODE_341_length_2355_cov_110.110623,2
NODE_342_length_2351_cov_59.159191,4
NODE_343_length_2335_cov_13.493357,1
NODE_344_length_2294_cov_32.867388,4
NODE_345_length_2294_cov_15.480830,4
NODE_346_length_2248_cov_4.187011,0
NODE_347_length_2240_cov_54.071197,4
NODE_348_length_2229_cov_9.912639,6
NODE_349_length_2225_cov_19.560056,4
NODE_350_length_2219_cov_35.786181,4
NODE_351_length_2206_cov_16.014561,1
NODE_352_length_2204_cov_55.265162,4
NODE_353_length_2192_cov_140.719622,4
NODE_354_length_2188_cov_97.195168,2
NODE_355_length_2183_cov_24.613485,4
NODE_356_length_2169_cov_15.891013,4
NODE_357_length_2154_cov_14.671642,4
NODE_358_length_2148_cov_89.019314,4
NODE_359_length_2137_cov_33.683010,4
NODE_360_length_2130_cov_68.491476,4
NODE_361_length_2125_cov_32.038574,4
NODE_362_length_2101_cov_17.074111,7
NODE_363_length_2072_cov_11.215539,4
NODE_364_length_2052_cov_9.022785,7
NODE_365_length_2014_cov_33.644812,4
NODE_366_length_1994_cov_100.399061,4
NODE_367_length_1992_cov_3.307572,0
NODE_368_length_1977_cov_130.286842,4
NODE_369_length_1972_cov_29.823219,4
NODE_370_length_1953_cov_40.125267,7
NODE_371_length_1910_cov_9.712493,8
NODE_372_length_1877_cov_9.068333,7
NODE_373_length_1851_cov_48.810034,4
NODE_374_length_1838_cov_31.378762,8
NODE_375_length_1832_cov_33.854701,4
NODE_376_length_1825_cov_16.040046,4
NODE_377_length_1821_cov_87.345757,4
NODE_378_length_1817_cov_332.012069,7
NODE_379_length_1791_cov_252.076429,4
NODE_380_length_1790_cov_85.950963,4
NODE_381_length_1783_cov_47.715709,7
NODE_382_length_1753_cov_86.862768,2
NODE_383_length_1747_cov_86.838922,2
NODE_384_length_1722_cov_54.564742,4
NODE_385_length_1717_cov_129.815854,2
NODE_386_length_1706_cov_72.531001,2
NODE_387_length_1690_cov_53.781773,4
NODE_388_length_1690_cov_33.375077,7
NODE_389_length_1684_cov_80.675171,4
NODE_390_length_1652_cov_2.809524,6
NODE_391_length_1649_cov_63.797710,7
NODE_392_length_1631_cov_92.469755,4
NODE_393_length_1623_cov_70.142950,4
NODE_394_length_1621_cov_72.176813,4
NODE_395_length_1596_cov_422.228440,4
NODE_396_length_1577_cov_11.656000,7
NODE_397_length_1576_cov_76.503002,8
NODE_398_length_1555_cov_10.356563,4
NODE_399_length_1544_cov_83.075665,4
NODE_400_length_1543_cov_13.511596,4
NODE_401_length_1521_cov_222.323407,4
NODE_402_length_1492_cov_4.458657,6
NODE_403_length_1487_cov_106.782270,2
NODE_404_length_1466_cov_40.171346,7
NODE_405_length_1449_cov_7.718659,4
NODE_406_length_1435_cov_100.998527,2
NODE_407_length_1385_cov_105.870795,2
NODE_408_length_1378_cov_20.159108,7
NODE_409_length_1351_cov_30.506279,7
NODE_410_length_1345_cov_78.018927,4
NODE_411_length_1336_cov_99.825258,4
NODE_412_length_1329_cov_3.269169,6
NODE_413_length_1326_cov_21.215372,5
NODE_414_length_1323_cov_78.374799,4
NODE_415_length_1302_cov_62.331429,4
NODE_416_length_1297_cov_151.793443,7
NODE_417_length_1295_cov_2.967980,6
NODE_418_length_1289_cov_63.732673,7
NODE_419_length_1279_cov_86.429285,4
NODE_420_length_1275_cov_21.965776,4
NODE_421_length_1234_cov_8.186690,1
NODE_422_length_1232_cov_67.669264,7
NODE_423_length_1230_cov_15.913270,4
NODE_424_length_1230_cov_6.549003,6
NODE_425_length_1229_cov_9.956597,6
NODE_426_length_1182_cov_71.043439,4
NODE_427_length_1182_cov_12.562896,7
NODE_428_length_1181_cov_83.126812,4
NODE_429_length_1173_cov_97.333029,7
NODE_430_length_1154_cov_16.950789,4
NODE_431_length_1147_cov_68.263551,4
NODE_432_length_1145_cov_13.779963,4
NODE_433_length_1136_cov_98.406043,4
NODE_434_length_1128_cov_89.715509,7
NODE_435_length_1119_cov_111.173704,3
NODE_436_length_1103_cov_61.966862,4
NODE_437_length_1093_cov_50.290354,4
NODE_438_length_1092_cov_65.864039,7
NODE_439_length_1091_cov_19.099606,4
NODE_440_length_1081_cov_4.418327,6
NODE_441_length_1073_cov_64.088353,4
NODE_442_length_1056_cov_88.948927,4
NODE_443_length_1050_cov_7.720452,6
NODE_444_length_1048_cov_19.501545,4
NODE_445_length_1047_cov_116.950515,4
NODE_446_length_1047_cov_69.457732,4
NODE_447_length_1042_cov_43.782383,4
NODE_448_length_1042_cov_7.702591,6
NODE_449_length_1038_cov_14.671176,6
NODE_450_length_1004_cov_38.327940,4
NODE_451_length_1004_cov_12.227616,6
